date,pred,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
2026-10-04,93,52,168,30,280,22,382,17,496
2026-10-11,93,51,169,29,284,21,390,16,510
2026-10-18,89,49,164,28,278,20,385,15,506
2026-10-25,85,46,156,26,268,19,373,14,494
2026-11-01,79,43,147,24,255,17,358,13,477
2026-11-08,73,40,137,23,241,16,339,12,454
2026-11-15,68,37,128,21,228,15,321,11,433
2026-11-22,64,35,121,20,217,14,306,11,415
2026-11-29,61,33,115,19,209,14,296,10,401
2026-12-06,59,32,112,18,204,13,288,10,392
2026-12-13,58,31,110,18,201,13,285,10,387
2026-12-20,59,32,112,18,205,13,290,10,392
2026-12-27,61,33,117,19,213,14,301,10,407
2027-01-03,65,35,124,20,225,14,317,11,427
2027-01-10,70,38,133,21,239,15,337,11,452
2027-01-17,76,41,143,23,256,17,360,12,481
2027-01-24,82,44,154,25,273,18,382,13,510
2027-01-31,87,47,164,26,288,19,403,14,536
2027-02-07,92,49,172,28,300,20,418,15,556
2027-02-14,95,51,178,28,307,20,429,15,568
2027-02-21,96,51,180,29,311,20,433,15,575
2027-02-28,95,51,179,28,308,20,430,15,571
2027-03-07,93,49,174,28,301,19,420,14,559
2027-03-14,89,47,167,26,289,19,406,14,541
2027-03-21,84,44,158,25,276,17,388,13,519
2027-03-28,79,41,149,23,262,16,369,12,496
2027-04-04,73,38,139,21,247,15,350,11,471
2027-04-11,69,36,131,20,233,14,332,10,448
2027-04-18,65,34,124,19,222,13,317,10,429
2027-04-25,62,32,119,18,213,13,306,9,415
2027-05-02,60,31,115,17,207,12,298,9,405
2027-05-09,59,30,113,17,204,12,293,9,400
2027-05-16,59,30,113,17,203,12,292,9,401
2027-05-23,59,30,114,17,205,12,296,9,407
2027-05-30,60,31,117,17,210,12,302,9,416
2027-06-06,62,32,120,18,215,12,310,9,428
2027-06-13,64,33,124,18,222,13,319,9,441
2027-06-20,67,34,129,19,231,13,330,10,457
2027-06-27,69,36,134,19,240,14,343,10,474
2027-07-04,72,37,139,20,249,14,354,11,489
2027-07-11,75,39,144,21,257,15,365,11,503
2027-07-18,77,40,148,22,264,15,374,11,514
2027-07-25,79,41,151,22,268,16,380,12,521
2027-08-01,79,41,151,22,269,16,381,12,521
2027-08-08,78,40,149,22,266,15,378,11,516
2027-08-15,76,39,146,21,261,15,371,11,506
2027-08-22,73,38,141,20,254,14,362,10,493
2027-08-29,70,36,135,19,245,13,350,10,478
2027-09-05,67,34,129,18,236,13,337,9,461
2027-09-12,63,32,123,17,226,12,324,9,443
2027-09-19,60,30,117,16,216,11,311,8,427
2027-09-26,57,28,112,15,208,10,301,8,414
2027-10-03,55,27,109,14,202,10,293,7,403
