date,pred,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
2026-10-04,5,2,11,1,22,1,34,1,49
2026-10-11,5,2,10,1,20,1,30,0,43
2026-10-18,4,2,9,1,18,1,28,0,40
2026-10-25,4,2,9,1,18,1,27,0,39
2026-11-01,4,2,9,1,18,1,27,0,39
2026-11-08,4,2,9,1,18,1,28,0,41
2026-11-15,4,2,9,1,20,1,30,0,44
2026-11-22,5,2,10,1,22,1,34,0,49
2026-11-29,5,2,12,1,25,1,39,0,56
2026-12-06,6,3,14,1,29,1,46,1,67
2026-12-13,7,3,17,1,36,1,56,1,83
2026-12-20,9,4,21,2,45,1,71,1,105
2026-12-27,11,5,27,2,58,1,92,1,136
2027-01-03,15,6,34,3,75,2,119,1,178
2027-01-10,19,8,44,4,97,2,156,1,234
2027-01-17,24,10,57,4,126,3,203,2,306
2027-01-24,30,12,73,6,164,3,265,2,402
2027-01-31,39,16,94,7,212,4,345,3,525
2027-02-07,49,20,119,9,270,5,442,3,675
2027-02-14,60,24,148,11,338,6,556,4,852
2027-02-21,72,29,179,12,413,8,682,5,1051
2027-02-28,84,33,211,14,489,9,812,6,1258
2027-03-07,95,37,240,16,563,10,939,6,1461
2027-03-14,105,41,267,17,631,11,1056,7,1655
2027-03-21,113,44,290,19,692,11,1165,7,1837
2027-03-28,118,45,307,19,739,11,1250,7,1981
2027-04-04,120,46,316,19,768,11,1306,7,2080
2027-04-11,119,45,317,19,777,11,1330,7,2127
2027-04-18,114,42,309,17,764,10,1315,6,2111
2027-04-25,107,39,292,16,731,9,1268,6,2044
2027-05-02,97,35,270,14,683,8,1195,5,1933
2027-05-09,87,31,246,12,630,7,1110,4,1805
2027-05-16,77,27,221,11,572,6,1016,4,1660
2027-05-23,67,23,196,9,513,5,918,3,1508
2027-05-30,58,20,172,8,456,4,824,2,1360
2027-06-06,50,17,149,6,400,3,729,2,1211
2027-06-13,42,14,128,5,348,3,639,2,1068
2027-06-20,35,11,109,4,301,2,558,1,938
2027-06-27,30,9,92,3,259,2,483,1,816
2027-07-04,24,8,77,3,220,1,414,1,705
2027-07-11,20,6,64,2,187,1,354,1,607
2027-07-18,17,5,54,2,159,1,303,0,523
2027-07-25,14,4,45,1,135,1,259,0,451
2027-08-01,11,3,38,1,115,1,222,0,389
2027-08-08,9,3,32,1,99,0,192,0,339
2027-08-15,8,2,27,1,85,0,167,0,296
2027-08-22,7,2,24,1,74,0,146,0,262
2027-08-29,6,2,21,1,65,0,129,0,233
2027-09-05,5,1,18,0,59,0,116,0,211
2027-09-12,5,1,17,0,53,0,106,0,193
2027-09-19,4,1,15,0,49,0,99,0,180
2027-09-26,4,1,14,0,47,0,94,0,172
2027-10-03,4,1,14,0,46,0,92,0,169
