date,pred,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
2026-10-04,8,4,18,2,38,1,60,1,88
2026-10-11,8,3,18,2,38,1,60,1,88
2026-10-18,8,3,18,2,39,1,60,1,89
2026-10-25,8,4,19,2,40,1,63,1,92
2026-11-01,9,4,20,2,42,1,66,1,98
2026-11-08,9,4,21,2,46,1,71,1,105
2026-11-15,10,4,23,2,49,1,78,1,114
2026-11-22,11,5,25,2,54,1,85,1,125
2026-11-29,12,5,28,2,60,2,95,1,140
2026-12-06,14,6,32,3,68,2,107,1,157
2026-12-13,15,7,36,3,76,2,120,1,176
2026-12-20,17,8,40,4,86,2,136,2,200
2026-12-27,20,9,46,4,98,3,154,2,228
2027-01-03,23,10,53,5,112,3,177,2,261
2027-01-10,26,11,60,5,127,3,201,2,297
2027-01-17,29,13,67,6,143,4,226,3,334
2027-01-24,32,14,74,7,159,4,251,3,371
2027-01-31,35,15,82,7,175,5,276,3,408
2027-02-07,38,16,88,8,188,5,297,3,440
2027-02-14,41,17,94,8,202,5,319,4,472
2027-02-21,43,18,99,9,212,5,336,4,497
2027-02-28,44,19,103,9,221,6,350,4,518
2027-03-07,45,19,106,9,228,6,361,4,535
2027-03-14,45,19,107,9,231,6,367,4,544
2027-03-21,45,19,107,9,231,6,367,4,544
2027-03-28,44,19,105,9,227,5,362,4,534
2027-04-04,43,18,102,8,221,5,352,4,521
2027-04-11,41,17,98,8,213,5,340,3,502
2027-04-18,39,16,94,8,204,5,326,3,481
2027-04-25,37,15,89,7,194,4,311,3,459
2027-05-02,35,15,85,7,186,4,299,3,441
2027-05-09,33,14,81,6,178,4,287,3,424
2027-05-16,32,13,78,6,171,4,275,3,408
2027-05-23,31,13,75,6,165,4,266,2,396
2027-05-30,29,12,72,5,160,3,258,2,385
2027-06-06,28,11,69,5,154,3,249,2,373
2027-06-13,27,11,66,5,148,3,241,2,362
2027-06-20,26,10,64,5,144,3,235,2,354
2027-06-27,25,10,61,4,140,3,227,2,345
2027-07-04,24,9,59,4,135,3,219,2,334
2027-07-11,23,9,57,4,130,2,212,2,324
2027-07-18,22,9,55,4,126,2,206,2,315
2027-07-25,21,8,52,4,121,2,198,1,304
2027-08-01,20,8,50,3,116,2,190,1,292
2027-08-08,19,8,48,3,112,2,184,1,283
2027-08-15,19,7,47,3,109,2,179,1,276
2027-08-22,18,7,45,3,106,2,174,1,269
2027-08-29,18,7,44,3,103,2,171,1,264
2027-09-05,17,7,44,3,102,2,170,1,263
2027-09-12,18,7,44,3,103,2,172,1,266
2027-09-19,18,7,45,3,105,2,175,1,272
2027-09-26,18,7,47,3,109,2,182,1,284
2027-10-03,20,8,50,3,116,2,195,1,305
