date,pred,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
2026-10-04,41,20,84,11,155,7,226,5,312
2026-10-11,44,21,90,11,170,8,249,5,347
2026-10-18,45,22,96,11,184,7,273,5,383
2026-10-25,48,22,102,11,200,8,298,5,422
2026-11-01,50,23,109,11,215,8,324,5,461
2026-11-08,52,23,115,12,229,8,348,5,500
2026-11-15,54,24,120,12,244,8,372,5,539
2026-11-22,56,24,126,12,258,8,397,5,578
2026-11-29,58,25,133,12,274,8,424,5,619
2026-12-06,60,26,140,13,291,8,452,5,662
2026-12-13,63,27,148,13,310,8,483,6,709
2026-12-20,66,29,156,14,330,9,515,6,756
2026-12-27,71,31,168,14,357,9,558,6,818
2027-01-03,76,33,181,15,389,10,610,7,893
2027-01-10,82,35,197,16,425,10,668,7,976
2027-01-17,89,38,213,18,462,11,729,7,1065
2027-01-24,96,41,231,19,504,12,798,8,1169
2027-01-31,106,45,254,21,556,13,884,9,1299
2027-02-07,117,50,282,22,620,14,987,9,1457
2027-02-14,130,55,315,25,692,15,1104,10,1639
2027-02-21,145,61,350,27,771,17,1234,11,1843
2027-02-28,163,68,394,30,869,19,1393,13,2092
2027-03-07,184,77,447,34,986,21,1581,14,2386
2027-03-14,208,86,506,38,1119,24,1796,16,2720
2027-03-21,237,98,577,43,1275,27,2049,18,3107
2027-03-28,269,111,655,49,1449,30,2330,20,3534
2027-04-04,300,124,733,54,1623,33,2612,22,3962
2027-04-11,328,134,801,59,1774,36,2859,24,4339
2027-04-18,352,144,862,63,1909,39,3079,26,4680
2027-04-25,367,150,900,66,1993,41,3220,27,4905
2027-05-02,374,153,918,67,2035,42,3291,27,5022
2027-05-09,375,153,921,68,2042,42,3307,27,5052
2027-05-16,371,151,911,67,2020,41,3271,27,5001
2027-05-23,363,148,892,66,1979,40,3205,26,4901
2027-05-30,354,144,869,64,1929,39,3125,26,4771
2027-06-06,343,139,840,62,1865,38,3023,25,4601
2027-06-13,329,134,807,60,1794,37,2909,24,4409
2027-06-20,314,128,770,57,1712,35,2782,23,4197
2027-06-27,295,120,722,53,1607,33,2616,21,3930
2027-07-04,271,110,664,49,1480,30,2412,19,3620
2027-07-11,246,100,604,44,1347,27,2199,17,3296
2027-07-18,223,90,546,40,1219,24,1990,16,2979
2027-07-25,200,81,489,36,1092,22,1781,14,2664
2027-08-01,177,72,432,31,964,19,1568,12,2344
2027-08-08,156,63,379,28,843,17,1368,11,2042
2027-08-15,137,56,333,24,740,15,1198,10,1783
2027-08-22,123,50,298,22,662,13,1070,9,1586
2027-08-29,111,45,270,20,599,12,968,8,1427
2027-09-05,102,41,248,18,550,11,888,7,1302
2027-09-12,95,38,229,17,509,10,822,7,1202
2027-09-19,87,35,211,15,468,10,754,6,1104
2027-09-26,80,32,193,14,426,9,687,6,1009
2027-10-03,74,30,178,13,393,8,633,5,935
