date,pred,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
2026-10-04,7,4,12,2,21,1,29,1,38
2026-10-11,6,3,12,2,20,1,28,1,37
2026-10-18,6,3,11,2,20,1,28,1,37
2026-10-25,6,3,11,2,19,1,27,1,36
2026-11-01,6,3,11,2,19,1,27,1,36
2026-11-08,6,3,11,2,19,1,27,1,35
2026-11-15,6,3,10,2,18,1,26,1,35
2026-11-22,5,3,10,2,18,1,26,1,35
2026-11-29,5,3,10,2,18,1,26,1,35
2026-12-06,5,3,10,2,18,1,26,1,35
2026-12-13,5,3,10,2,18,1,26,1,35
2026-12-20,6,3,10,2,19,1,26,1,36
2026-12-27,6,3,11,2,19,1,27,1,36
2027-01-03,6,3,11,2,19,1,28,1,37
2027-01-10,6,3,11,2,20,1,29,1,39
2027-01-17,6,3,12,2,21,1,30,1,40
2027-01-24,7,3,12,2,22,1,31,1,42
2027-01-31,7,4,13,2,23,1,33,1,44
2027-02-07,7,4,14,2,25,2,35,1,47
2027-02-14,8,4,15,2,27,2,38,1,51
2027-02-21,8,4,16,2,29,2,41,1,55
2027-02-28,9,5,17,3,31,2,44,1,59
2027-03-07,10,5,19,3,34,2,48,2,64
2027-03-14,11,6,20,3,36,2,52,2,70
2027-03-21,11,6,22,3,39,2,55,2,74
2027-03-28,12,6,23,4,41,3,59,2,79
2027-04-04,13,7,24,4,43,3,61,2,83
2027-04-11,13,7,25,4,44,3,63,2,85
2027-04-18,13,7,25,4,45,3,63,2,86
2027-04-25,13,7,25,4,44,3,63,2,85
2027-05-02,13,7,24,4,43,3,61,2,83
2027-05-09,12,6,23,4,42,3,60,2,81
2027-05-16,12,6,22,3,40,2,57,2,78
2027-05-23,11,6,21,3,38,2,55,2,74
2027-05-30,11,6,20,3,37,2,52,2,71
2027-06-06,10,5,19,3,35,2,50,2,68
2027-06-13,10,5,18,3,33,2,47,1,64
2027-06-20,9,5,17,3,31,2,45,1,61
2027-06-27,9,4,17,2,30,2,43,1,58
2027-07-04,8,4,16,2,29,2,41,1,56
2027-07-11,8,4,15,2,28,2,39,1,54
2027-07-18,7,4,14,2,26,1,37,1,51
2027-07-25,7,4,14,2,25,1,36,1,49
2027-08-01,7,3,13,2,24,1,34,1,46
2027-08-08,6,3,12,2,22,1,32,1,44
2027-08-15,6,3,12,2,21,1,30,1,42
2027-08-22,6,3,11,2,20,1,29,1,39
2027-08-29,5,3,10,1,19,1,27,1,37
2027-09-05,5,3,10,1,18,1,26,1,35
2027-09-12,5,2,9,1,17,1,25,1,34
2027-09-19,4,2,9,1,16,1,24,1,32
2027-09-26,4,2,9,1,16,1,23,1,32
2027-10-03,4,2,8,1,16,1,23,1,31
